AGS,AGS_STATE,AGS_8,Name,total,Protestant Count,Catholic Count,Other Count
084160023023,08,08416023,Kusterdingen,8636,3727,1268,3639
084160041041,08,08416041,"Tübingen, Universitätsstadt",90499,27871,18035,44595
084160048048,08,08416048,Ammerbuch,11329,4282,2283,4767
084165001011,08,08416011,Dußlingen,6087,2290,949,2854
084165001015,08,08416015,Gomaringen,9054,4093,1287,3675
084165001026,08,08416026,Nehren (Landkreis Tübingen),4436,1843,749,1843
084165002006,08,08416006,Bodelshausen,5698,1951,1277,2470
084165002025,08,08416025,"Mössingen, Stadt",21593,9434,3488,8671
084165002031,08,08416031,Ofterdingen,5317,2163,913,2239
084165003018,08,08416018,Hirrlingen,3129,403,1795,932
084165003036,08,08416036,"Rottenburg am Neckar, Stadt",44954,8426,18935,17594
084165003049,08,08416049,Neustetten,3699,1583,871,1243
084165003050,08,08416050,Starzach,4299,699,2196,1403
084170013013,08,08417013,"Burladingen, Stadt",12056,1694,6989,3372
084170025025,08,08417025,"Haigerloch, Stadt",10842,1555,5744,3545
084170054054,08,08417054,"Rosenfeld, Stadt",6407,2899,1503,2007
084175001010,08,08417010,Bitz,3815,1753,895,1166
084175001079,08,08417079,"Albstadt, Stadt",46134,15440,12507,18186
084175002002,08,08417002,"Balingen, Stadt",35190,13131,8566,13497
084175002022,08,08417022,"Geislingen, Stadt",5873,1049,3379,1447
084175003008,08,08417008,Bisingen,9543,1954,3958,3627
084175003023,08,08417023,Grosselfingen,2161,405,1096,661
084175004031,08,08417031,"Hechingen, Stadt",19514,3763,7610,8141
084175004036,08,08417036,Jungingen,1361,242,642,476
084175004051,08,08417051,Rangendingen,5281,895,2888,1500
084175005044,08,08417044,"Meßstetten, Stadt",11072,3789,3726,3559
084175005045,08,08417045,Nusplingen,1895,181,1248,464
084175005047,08,08417047,Obernheim,1516,201,846,470
084175006014,08,08417014,Dautmergen,448,75,240,131
084175006015,08,08417015,Dormettingen,1086,202,527,354
084175006016,08,08417016,Dotternhausen,1845,384,854,610
084175006029,08,08417029,Hausen am Tann,509,77,251,179
084175006052,08,08417052,Ratshausen,743,90,459,192
084175006057,08,08417057,"Schömberg, Stadt",4647,629,2302,1715
084175006071,08,08417071,Weilen unter den Rinnen,605,55,373,175
084175006078,08,08417078,Zimmern unter der Burg,446,51,307,92
084175007063,08,08417063,Straßberg,2465,640,1189,637
084175007075,08,08417075,Winterlingen,6339,1964,2601,1771
084210000000,08,08421000,"Ulm, Universitätsstadt",127116,25361,35835,65922
084250039039,08,08425039,"Erbach, Stadt",13928,2382,6415,5133
084250108108,08,08425108,"Schelklingen, Stadt",6644,1063,3049,2528
084250141141,08,08425141,"Blaustein, Stadt",16310,3948,5155,7204
084255001002,08,08425002,Allmendingen,4867,1033,2589,1244
084255001004,08,08425004,Altheim (Landkreis AlbDonauKreis),593,84,390,117
084255002017,08,08425017,Berghülen,1956,1049,290,616
084255002020,08,08425020,"Blaubeuren, Stadt",12496,4541,2526,5426
084255003028,08,08425028,"Dietenheim, Stadt",6781,969,3116,2700
084255003066,08,08425066,Illerrieden,3354,431,1852,1071
084255003140,08,08425140,Balzheim,2130,800,587,743
084255004014,08,08425014,Beimerstetten,2383,889,548,947
084255004031,08,08425031,Dornstadt,8991,2353,3333,3307
084255004135,08,08425135,Westerstetten,2205,523,907,776
084255005033,08,08425033,"Ehingen (Donau), Stadt",27241,3747,13769,9726
084255005050,08,08425050,Griesingen,1012,102,700,219
084255005088,08,08425088,Oberdischingen,2212,233,1259,720
084255005093,08,08425093,Öpfingen,2298,316,1261,727
084255006064,08,08425064,Hüttisheim,1469,159,899,410
084255006110,08,08425110,Schnürpflingen,1398,137,831,430
084255006137,08,08425137,Illerkirchberg,4865,725,2182,1962
084255006138,08,08425138,Staig,3266,499,1720,1050
084255007071,08,08425071,"Laichingen, Stadt",11955,5079,2047,4831
084255007079,08,08425079,Merklingen,2010,1147,305,556
084255007084,08,08425084,Nellingen,1988,1185,283,522
084255007134,08,08425134,Westerheim (Landkreis AlbDonauKreis),3016,664,1661,690
084255007139,08,08425139,Heroldstatt,2819,1293,674,847
084255008005,08,08425005,Altheim (Alb),1692,975,221,499
084255008011,08,08425011,Asselfingen,1004,541,174,288
084255008013,08,08425013,Ballendorf,663,468,74,125
084255008019,08,08425019,Bernstadt,2258,1034,446,777
084255008022,08,08425022,Börslingen,170,122,19,28
084255008024,08,08425024,Breitingen,363,161,56,144
084255008062,08,08425062,Holzkirch,270,170,40,59
084255008072,08,08425072,"Langenau, Stadt",15005,5832,3413,5760
084255008083,08,08425083,Neenstetten,835,543,94,201
084255008085,08,08425085,Nerenstetten,356,218,47,91
084255008092,08,08425092,Öllingen,549,294,87,164
084255008097,08,08425097,Rammingen (Landkreis AlbDonauKreis),1274,256,628,387
084255008112,08,08425112,Setzingen,709,403,105,201
084255008130,08,08425130,Weidenstetten,1366,701,217,450
084255009008,08,08425008,Amstetten,4128,1798,771,1559
084255009075,08,08425075,Lonsee,5039,2101,1082,1852
084255010035,08,08425035,Emeringen,157,23,97,32
084255010036,08,08425036,Emerkingen,822,74,569,180
084255010052,08,08425052,Grundsheim,217,14,171,32
084255010055,08,08425055,Hausen am Bussen,278,48,164,67
084255010073,08,08425073,Lauterach,567,89,353,125
084255010081,08,08425081,"Munderkingen, Stadt",5403,790,2670,1941
084255010090,08,08425090,Obermarchtal,1329,121,899,308
084255010091,08,08425091,Oberstadion,1554,151,1084,319
084255010098,08,08425098,Rechtenstein,293,45,186,63
084255010104,08,08425104,Rottenacker,2198,880,756,559
084255010123,08,08425123,Untermarchtal,881,87,600,195
084255010124,08,08425124,Unterstadion,794,76,564,154
084255010125,08,08425125,Unterwachingen,192,29,144,18
084260134134,08,08426134,Schemmerhofen,8652,990,5423,2240
084265001005,08,08426005,Alleshausen,537,32,412,96
084265001006,08,08426006,Allmannsweiler,328,21,248,61
084265001013,08,08426013,"Bad Buchau, Stadt",4518,660,2184,1673
084265001020,08,08426020,Betzenweiler,755,37,594,125
084265001036,08,08426036,Dürnau (Landkreis Biberach),465,36,312,118
084265001064,08,08426064,Kanzach,496,62,331,107
084265001078,08,08426078,Moosburg,226,17,155,51
084265001090,08,08426090,Oggelshausen,933,63,629,242
084265001109,08,08426109,Seekirch,306,46,185,77
084265001118,08,08426118,Tiefenbach (Landkreis Biberach),533,64,364,104
084265002014,08,08426014,"Bad Schussenried, Stadt",8705,1154,4838,2709
084265002062,08,08426062,Ingoldingen,3079,306,2123,645
084265003011,08,08426011,Attenweiler,1902,430,1070,405
084265003021,08,08426021,"Biberach an der Riß, Stadt",34018,6420,13695,13895
084265003038,08,08426038,Eberhardzell,4497,377,3096,1027
084265003058,08,08426058,Hochdorf (Landkreis Biberach),2319,279,1473,567
084265003071,08,08426071,Maselheim,4576,419,2858,1298
084265003074,08,08426074,Mittelbiberach,4393,752,2193,1449
084265003120,08,08426120,Ummendorf (Landkreis Biberach),4397,663,2463,1269
084265003128,08,08426128,Warthausen,5218,992,2498,1726
084265004019,08,08426019,Berkheim,3106,339,1717,1049
084265004031,08,08426031,Dettingen an der Iller,2632,331,1644,656
084265004044,08,08426044,Erolzheim,3338,431,1835,1072
084265004065,08,08426065,Kirchberg an der Iller,2192,270,1181,740
084265004066,08,08426066,Kirchdorf an der Iller,3988,609,2002,1380
084265005001,08,08426001,Achstetten,4940,821,2582,1536
084265005028,08,08426028,Burgrieden,4165,618,2193,1354
084265005070,08,08426070,"Laupheim, Stadt",22638,3420,11018,8200
084265005073,08,08426073,Mietingen,4508,458,2959,1093
084265006043,08,08426043,Erlenmoos,1792,165,1268,358
