ags,ags_name,election_date,eligible_voters,turnout,total_votes,cdu_csu,spd,fdp,afd,gruene,pds_linke,other
05120000,"Remscheid, krfr. Stadt",13-05-1990,90097,0.67862415,61142,0.338490727,0.508553858,0.078963724,0,0.03740473,0,0.031091557
05120000,"Remscheid, krfr. Stadt",14-05-1995,87273,0.586916916,51222,0.343758541,0.49242513,0.05540588,0,0.079360431,0,0.021318965
05120000,"Remscheid, krfr. Stadt",14-05-2000,84736,0.522292768,44257,0.341098583,0.421967146,0.121969406,0,0.053596041,0.012675961,0.038095668
05120000,"Remscheid, krfr. Stadt",22-05-2005,83298,0.586088502,48820,0.426976649,0.36550594,0.080458828,0,0.047501024,0.009873003,0.057087259
05120000,"Remscheid, krfr. Stadt",09-05-2010,81021,0.554362449,44915,0.319648224,0.333964155,0.076188356,0,0.103885116,0.064321496,0.086162752
05120000,"Remscheid, krfr. Stadt",13-05-2012,79758,0.550866371,43936,0.231882739,0.373839221,0.098962127,0,0.099531136,0.027813183,0.153131828
05120000,"Remscheid, krfr. Stadt",14-05-2017,77296,0.61410681,47468,0.311704727,0.309998315,0.125326536,0.084667566,0.05220359,0.050244375,0.052540659
05120000,"Remscheid, krfr. Stadt",15-05-2022,75851,0.493981622,37469,0.355307054,0.288238277,0.059168913,0.0651205,0.142384371,0.022365155,0.058661827
05122000,"Solingen, krfr. Stadt",13-05-1990,121476,0.688210017,83601,0.329804667,0.484647313,0.096601715,0,0.042248298,0,0.040406215
05122000,"Solingen, krfr. Stadt",14-05-1995,118014,0.618324944,72971,0.349371668,0.446684299,0.075454633,0,0.084883036,0,0.035918379
05122000,"Solingen, krfr. Stadt",14-05-2000,115224,0.548253836,63172,0.35032926,0.411923004,0.125831064,0,0.064348129,0.012616349,0.024092953
05122000,"Solingen, krfr. Stadt",22-05-2005,114720,0.614923291,70544,0.434182921,0.340014743,0.085450215,0,0.058502495,0.010291449,0.058502495
05122000,"Solingen, krfr. Stadt",09-05-2010,114221,0.582353508,66517,0.315332922,0.318234436,0.082685629,0,0.12401341,0.065922997,0.080310297
05122000,"Solingen, krfr. Stadt",13-05-2012,113649,0.586014835,66600,0.228948949,0.369099099,0.100645646,0,0.116816817,0.024714715,0.145960961
