ags,ags_name,election_date,eligible_voters,turnout,total_votes,cdu_csu,spd,fdp,afd,gruene,linke_pds,ad_demokraten,other
5170020,"Kamp-Lintfort, Stadt",2017-05-14,27653,0.59389578,16423,0.239114346,0.445664241,0.08400148,0.089120513,0.041013939,0.048908351,0.004008881,0.04816825
5170024,"Moers, Stadt",2017-05-14,76765,0.663896307,50964,0.279933283,0.371152853,0.111989198,0.088399984,0.047059291,0.050454708,0.001985624,0.049025059
5170028,"Neukirchen-Vluyn, Stadt",2017-05-14,21229,0.690894531,14667,0.309684996,0.361840287,0.112323846,0.07218845,0.048770379,0.045109146,0.000967118,0.049115778
5170032,"Rheinberg, Stadt",2017-05-14,24875,0.685467337,17051,0.330092483,0.330329618,0.1145364,0.082404553,0.055015414,0.04280294,0.000948542,0.04387005
5170036,Schermbeck,2017-05-14,11449,0.749061053,8576,0.394566624,0.290838528,0.130189345,0.062801364,0.052569681,0.030342232,0.000588028,0.038104199
5170040,Sonsbeck,2017-05-14,6943,0.702002016,4874,0.441870087,0.250103434,0.143152669,0.04385602,0.043442284,0.035374431,0.000206868,0.041994208
5170044,"Voerde (Niederrhein), Stadt",2017-05-14,28822,0.674276594,19434,0.254226708,0.395567809,0.108203714,0.092857514,0.046662852,0.055662488,0.001768715,0.0450502
5170048,"Wesel, Stadt",2017-05-14,46936,0.641746208,30121,0.317134521,0.343327632,0.121239561,0.070765,0.052855753,0.048596438,0.000871986,0.045209109
5170052,"Xanten, Stadt",2017-05-14,17330,0.698384305,12103,0.392343698,0.284854564,0.130140421,0.060013373,0.05483116,0.041959211,8.35841E-05,0.035773989
5314000,"Bonn, krfr. Stadt",2017-05-14,226008,0.683723585,154527,0.309711252,0.253794426,0.160530143,0.055949438,0.109648636,0.065902672,0.000521795,0.043941637
5315000,"Köln, krfr. Stadt",2017-05-14,729833,0.649238935,473836,0.265492955,0.281074161,0.138046895,0.059690035,0.118095635,0.084019853,0.001984068,0.051596398
5316000,"Leverkusen, krfr. Stadt",2017-05-14,116380,0.636999484,74134,0.314788021,0.30950561,0.128156479,0.083385657,0.061164041,0.046859218,0.00151511,0.054625863
5334002,"Aachen, krfr. Stadt (ab 21.10.2009)",2017-05-14,176721,0.692752984,122424,0.280476453,0.283540779,0.149295287,0.046590937,0.113610715,0.074392283,0.001054392,0.051039153
