ags,GEN,total_22,german_born,turkish_born,italian_born
010535313113,Schretstaken,512,0.958984375,0,0
010535313125,Talkau,543,0.955801105,0.009208103,0
010535313134,Woltersdorf (Kreis Herzogtum Lauenburg),350,0.914285714,0,0
010535318010,Besenthal,92,0.934782609,0,0
010535318015,Bröthen,330,0.960606061,0,0
010535318020,Büchen,6366,0.874960729,0.010524662,0.001570845
010535318029,Fitzen,386,0.89119171,0.007772021,0
010535318035,Göttin,61,1,0,0
010535318046,Gudow,1745,0.92722063,0.001719198,0.002292264
010535318048,Güster,1296,0.892746914,0,0.002314815
010535318064,Klein Pampau,679,0.935198822,0.004418262,0
010535318080,Langenlehsten,173,0.895953757,0,0
010535318092,Müssen,1233,0.909975669,0.00729927,0
010535318104,Roseburg,544,0.941176471,0,0
010535318115,Schulendorf,452,0.938053097,0.006637168,0
010535318119,Siebeneichen,269,0.921933086,0,0
010535318126,Tramm (Kreis Herzogtum Lauenburg),323,0.972136223,0,0
010535318132,Witzeeze,917,0.925845147,0.007633588,0
010535323003,Aumühle,3200,0.8725,0.0046875,0.003125
010535323012,Börnsen,4773,0.841609051,0.005028284,0.000628536
010535323023,Dassendorf,3465,0.903896104,0.001731602,0.002020202
010535323028,Escheburg,3496,0.873855835,0.004290618,0.001144165
010535323050,Hamwarde,883,0.902604757,0,0.003397508
010535323053,Hohenhorn,537,0.882681564,0,0
010535323072,Kröppelshagen0Fahrendorf,1423,0.869992973,0.002108222,0
010535323131,Wiershop,212,0.971698113,0,0
010535323133,Wohltorf,2579,0.869329197,0.004652966,0.001163242
010535323135,Worth,170,0.905882353,0,0
010535343006,Basedow (Kreis Herzogtum Lauenburg),633,0.938388626,0,0
010535343019,Buchhorst,147,0.918367347,0,0
010535343022,Dalldorf,354,0.946327684,0,0
010535343058,Juliusburg,183,0.967213115,0,0
010535343073,Krüzen,358,0.930167598,0,0
010535343074,Krukow (Kreis Herzogtum Lauenburg),162,0.969135802,0,0
010535343082,Lanze,268,0.906716418,0,0
010535343087,Lütau,696,0.951149425,0,0
010535343111,Schnakenbek,912,0.903508772,0.003289474,0
010535343128,Wangelau,210,0.923809524,0,0
010535358001,Albsfelde,74,0.959459459,0,0
010535358004,Bäk,919,0.919477693,0,0
010535358016,Brunsmark,156,0.916666667,0,0.019230769
010535358018,Buchholz (Kreis Herzogtum Lauenburg),252,0.908730159,0,0
010535358026,Einhaus,447,0.908277405,0,0
010535358030,Fredeburg,47,0.936170213,0,0
010535358033,Giesensdorf,175,0.754285714,0,0
010535358040,Groß Disnack,84,0.964285714,0,0
010535358041,Groß Grönau,3764,0.910467588,0.003985122,0.001594049
010535358043,Groß Sarau,1052,0.928707224,0.008555133,0
010535358051,Harmsdorf (Kreis Herzogtum Lauenburg),314,0.917197452,0,0
010535358054,Hollenbek,472,0.947033898,0,0
010535358057,Horst,277,0.909747292,0,0
010535358062,Kittlitz,299,0.919732441,0,0
010535358066,Klein Zecher,247,0.95951417,0,0
010535358078,Kulpin,210,0.9,0,0
010535358088,Mechow,141,0.943262411,0,0
010535358093,Mustin (Kreis Herzogtum Lauenburg),732,0.945355191,0,0
010535358098,Pogeez,510,0.896078431,0,0
010535358102,Römnitz,49,0.918367347,0,0
010535358107,Salem (Kreis Herzogtum Lauenburg),693,0.848484848,0,0
010535358110,Schmilau,572,0.917832168,0,0
010535358117,Seedorf (Kreis Herzogtum Lauenburg),595,0.887394958,0,0
010535358123,Sterley,927,0.92772384,0,0
010535358136,Ziethen (Kreis Herzogtum Lauenburg),1157,0.938634399,0,0.002592913
010535373007,Basthorst,437,0.917620137,0,0
010535373017,Brunstorf,783,0.891443167,0.003831418,0.003831418
010535373021,Dahmker,157,0.968152866,0,0
010535373027,Elmenhorst (Kreis Herzogtum Lauenburg),881,0.852440409,0,0
010535373031,Fuhlenhagen,389,0.915167095,0,0
010535373036,Grabau (Kreis Herzogtum Lauenburg),363,0.975206612,0,0
010535373042,Groß Pampau,175,0.954285714,0,0
010535373045,Grove,263,0.954372624,0.011406844,0
010535373047,Gülzow (Kreis Herzogtum Lauenburg),1368,0.91374269,0,0
010535373049,Hamfelde (Kreis Herzogtum Lauenburg),505,0.928712871,0,0
010535373052,Havekost,194,0.953608247,0,0
010535373059,Kankelau,231,0.913419913,0,0
010535373060,Kasseburg,578,0.944636678,0,0
010535373070,Köthel (Kreis Herzogtum Lauenburg),301,0.92358804,0,0
010535373071,Kollow,622,0.945337621,0,0
010535373076,Kuddewörde,1707,0.920913884,0.001757469,0.004100762
010535373089,Möhnsen,554,0.922382671,0,0
010535373091,Mühlenrade,206,0.936893204,0,0
010535373106,Sahms,460,0.941304348,0,0
010535391025,Duvensee,554,0.929602888,0,0
010535391038,Grinau,288,0.951388889,0,0
010535391039,Groß Boden,213,0.929577465,0,0
010535391044,Groß Schenkenberg,572,0.945804196,0.005244755,0
010535391068,Klinkrade,614,0.925081433,0,0
010535391069,Koberg,791,0.958280657,0,0
010535391077,Kühsen,358,0.93575419,0,0
010535391079,Labenz,882,0.945578231,0,0
010535391081,Lankau,462,0.932900433,0,0
010535391085,Linau,1222,0.913256956,0.003273322,0
010535391086,Lüchow,307,0.964169381,0,0
010535391096,Nusse,1176,0.903911565,0.005102041,0
010535391097,Panten,651,0.927803379,0,0
010535391099,Poggensee,363,0.972451791,0,0
010535391101,Ritzerau,307,0.928338762,0,0
010535391108,Sandesneben,1886,0.909862142,0.001590668,0.001590668
010535391109,Schiphorst,681,0.957415565,0,0
010535391112,Schönberg (Kreis Herzogtum Lauenburg),1449,0.924775707,0.002070393,0.002070393
010535391114,Schürensöhlen,158,0.96835443,0,0
010535391118,Siebenbäumen,607,0.929159802,0.004942339,0
010535391121,Sirksfelde,333,0.948948949,0,0
010535391122,Steinhorst (Kreis Herzogtum Lauenburg),564,0.957446809,0,0
010535391124,Stubben (Kreis Herzogtum Lauenburg),381,0.939632546,0,0
010535391127,Walksfelde,209,0.918660287,0,0.014354067
010535391130,Wentorf (Amt Sandesneben),717,0.938633194,0,0
010540033033,"Friedrichstadt, Stadt",2614,0.867635807,0.002295333,0.001530222
010540056056,"Husum, Stadt",23628,0.851193499,0.004994075,0.001650584
010540108108,Reußenköge,311,0.916398714,0,0
010540138138,"Tönning, Stadt",4789,0.875130507,0.004385049,0.001670495
010540168168,Sylt,14579,0.799780506,0.00946567,0.004046917
010545417035,"Garding, Kirchspiel",326,0.914110429,0,0
010545417036,"Garding, Stadt",2771,0.840851678,0.001082642,0.005052328
010545417040,Grothusenkoog,25,0.88,0,0
010545417063,Katharinenheerd,157,0.955414013,0,0
010545417072,Kotzenbüll,188,0.909574468,0,0.015957447
010545417090,Norderfriedrichskoog,54,0.925925926,0,0
010545417095,Oldenswort,1237,0.957154406,0,0.002425222
010545417100,Osterhever,223,0.937219731,0.013452915,0
010545417104,Poppenbüll,236,0.940677966,0,0
010545417113,Sankt Peter0Ording,3809,0.797584668,0.001575217,0.01548963
010545417134,Tating,999,0.864864865,0.003003003,0.018018018
010545417135,Tetenbüll,645,0.917829457,0,0.004651163
