stimmbezirk,valid_votes,eligible_voters,cdu_csu,spd,gruene,linke_pds,fdp,afd,ad_demokraten,other
21302,312,589,0.259615385,0.298076923,0.057692308,0.102564103,0.128205128,0.102564103,0.009615385,0.041666667
21303,590,1347,0.261016949,0.296610169,0.057627119,0.055932203,0.125423729,0.13559322,0.03559322,0.03220339
21304,233,994,0.184549356,0.25751073,0.068669528,0.090128755,0.103004292,0.158798283,0.077253219,0.060085837
30101,1671,2237,0.332136445,0.177139437,0.161579892,0.091561939,0.165769001,0.044883303,0.000598444,0.026331538
30102,1211,1301,0.263418662,0.191577209,0.214698596,0.106523534,0.145334434,0.040462428,0,0.037985136
30103,1509,1613,0.264413519,0.216037111,0.217362492,0.10139165,0.148442677,0.019880716,0,0.032471836
30104,432,758,0.206018519,0.217592593,0.222222222,0.175925926,0.12037037,0.030092593,0,0.027777778
30105,362,732,0.232044199,0.190607735,0.20441989,0.154696133,0.121546961,0.041436464,0.002762431,0.052486188
30106,347,627,0.181556196,0.259365994,0.190201729,0.195965418,0.086455331,0.069164265,0,0.017291066
30107,344,529,0.188953488,0.203488372,0.287790698,0.122093023,0.136627907,0.040697674,0,0.020348837
30108,352,686,0.178977273,0.190340909,0.244318182,0.196022727,0.079545455,0.039772727,0,0.071022727
30109,334,641,0.251497006,0.176646707,0.236526946,0.170658683,0.122754491,0.020958084,0,0.020958084
30110,690,1396,0.217391304,0.18115942,0.285507246,0.136231884,0.120289855,0.030434783,0.001449275,0.027536232
30201,1352,1424,0.235207101,0.224112426,0.222633136,0.124260355,0.13091716,0.030325444,0,0.032544379
30202,1451,1453,0.258442453,0.190213646,0.199172984,0.117849759,0.16471399,0.042039972,0.00068918,0.026878015
30203,1241,1533,0.261885576,0.194198227,0.152296535,0.128928284,0.172441579,0.050765512,0,0.039484287
30204,1402,1671,0.266048502,0.20256776,0.19828816,0.131954351,0.136947218,0.034950071,0.000713267,0.02853067
30205,1388,1498,0.288184438,0.17074928,0.191642651,0.110230548,0.15778098,0.044668588,0,0.036743516
30206,1034,1140,0.324951644,0.189555126,0.171179884,0.100580271,0.149903288,0.026112186,0.000967118,0.036750484
30207,1458,1595,0.278463649,0.203703704,0.189986283,0.118655693,0.140603567,0.033607682,0.000685871,0.034293553
30208,1400,1582,0.240714286,0.2,0.192142857,0.145,0.147857143,0.03,0,0.044285714
30209,1235,1277,0.215384615,0.195951417,0.255060729,0.136842105,0.12388664,0.030769231,0,0.042105263
30210,1093,1245,0.240622141,0.198536139,0.213174748,0.154620311,0.110704483,0.043915828,0,0.038426349
30211,1203,1379,0.311720698,0.186201164,0.178719867,0.094763092,0.15045719,0.044887781,0.000831255,0.032418953
30212,1248,1419,0.310897436,0.175480769,0.174679487,0.079326923,0.185096154,0.052884615,0,0.021634615
30213,339,773,0.221238938,0.17699115,0.233038348,0.138643068,0.120943953,0.050147493,0,0.05899705
30214,325,739,0.218461538,0.233846154,0.227692308,0.113846154,0.126153846,0.061538462,0,0.018461538
30215,323,688,0.349845201,0.145510836,0.182662539,0.092879257,0.154798762,0.037151703,0,0.037151703
30216,279,612,0.258064516,0.168458781,0.222222222,0.139784946,0.146953405,0.043010753,0,0.021505376
30217,370,734,0.189189189,0.283783784,0.208108108,0.12972973,0.094594595,0.051351351,0,0.043243243
30218,525,998,0.243809524,0.207619048,0.276190476,0.118095238,0.106666667,0.022857143,0,0.024761905
30219,704,1341,0.204545455,0.248579545,0.203125,0.150568182,0.115056818,0.042613636,0,0.035511364
30220,447,867,0.205816555,0.212527964,0.255033557,0.174496644,0.071588367,0.042505593,0,0.03803132
30221,415,882,0.228915663,0.204819277,0.204819277,0.125301205,0.154216867,0.045783133,0.004819277,0.031325301
30222,576,1201,0.1875,0.217013889,0.222222222,0.147569444,0.119791667,0.043402778,0,0.0625
30223,530,1118,0.20754717,0.173584906,0.239622642,0.175471698,0.130188679,0.033962264,0,0.039622642
30224,610,1245,0.157377049,0.229508197,0.245901639,0.203278689,0.101639344,0.021311475,0,0.040983607
30225,390,771,0.171794872,0.21025641,0.241025641,0.174358974,0.133333333,0.030769231,0.002564103,0.035897436
30226,374,711,0.176470588,0.203208556,0.248663102,0.179144385,0.114973262,0.029411765,0,0.048128342
30227,424,787,0.193396226,0.259433962,0.193396226,0.136792453,0.132075472,0.035377358,0.002358491,0.047169811
30228,346,716,0.234104046,0.242774566,0.199421965,0.158959538,0.080924855,0.037572254,0,0.046242775
30229,302,659,0.251655629,0.241721854,0.201986755,0.086092715,0.132450331,0.046357616,0,0.039735099
30230,338,600,0.213017751,0.25147929,0.171597633,0.112426036,0.174556213,0.056213018,0,0.020710059
30231,312,506,0.243589744,0.253205128,0.153846154,0.150641026,0.131410256,0.048076923,0,0.019230769
30232,296,597,0.219594595,0.277027027,0.199324324,0.125,0.118243243,0.037162162,0,0.023648649
30233,516,1163,0.294573643,0.156976744,0.224806202,0.079457364,0.182170543,0.050387597,0,0.011627907
30234,570,1276,0.261403509,0.249122807,0.166666667,0.112280702,0.11754386,0.049122807,0,0.043859649
30301,1541,1975,0.296560675,0.174561973,0.177806619,0.114211551,0.181700195,0.023361454,0.001297859,0.030499676
30302,1470,1736,0.318367347,0.180272109,0.170748299,0.102721088,0.157142857,0.045578231,0,0.025170068
30303,1382,1677,0.287988423,0.186685962,0.200434153,0.103473227,0.152677279,0.033285094,0.002170767,0.033285094
30304,1102,1297,0.280399274,0.170598911,0.183303085,0.127041742,0.17876588,0.025408348,0.000907441,0.033575318
30305,1382,1420,0.29739508,0.164254703,0.164978292,0.121562952,0.17366136,0.035455861,0.000723589,0.041968162
30306,1236,1428,0.323624595,0.165857605,0.162621359,0.096278317,0.198220065,0.03236246,0,0.021035599
30307,1187,1417,0.361415333,0.128896377,0.119629318,0.064869419,0.252737995,0.040438079,0,0.032013479
30308,1342,1468,0.346497765,0.142324888,0.112518629,0.064083458,0.2585693,0.036512668,0.000745156,0.038748137
30309,1108,1296,0.33032491,0.17599278,0.148916968,0.079422383,0.195848375,0.03700361,0.000902527,0.031588448
30310,1043,1403,0.351869607,0.135186961,0.145733461,0.083413231,0.220517737,0.032598274,0.001917546,0.028763183
30311,1698,1820,0.32155477,0.183745583,0.163722026,0.0795053,0.182567727,0.032391048,0,0.036513545
30312,250,730,0.248,0.184,0.196,0.144,0.176,0.016,0.004,0.032
30313,301,748,0.255813953,0.189368771,0.169435216,0.139534884,0.19269103,0.03654485,0,0.016611296
30314,319,713,0.260188088,0.150470219,0.235109718,0.097178683,0.191222571,0.043887147,0,0.021943574
30315,301,698,0.275747508,0.19269103,0.245847176,0.109634551,0.132890365,0.026578073,0,0.016611296
30316,355,768,0.335211268,0.146478873,0.191549296,0.050704225,0.216901408,0.042253521,0,0.016901408
30317,442,866,0.235294118,0.171945701,0.187782805,0.108597285,0.233031674,0.042986425,0,0.020361991
30318,467,1064,0.400428266,0.119914347,0.100642398,0.034261242,0.280513919,0.053533191,0,0.010706638
30319,256,616,0.31640625,0.12109375,0.14453125,0.078125,0.28125,0.0390625,0,0.01953125
30320,338,757,0.272189349,0.174556213,0.153846154,0.085798817,0.204142012,0.068047337,0,0.041420118
30321,301,744,0.322259136,0.23255814,0.089700997,0.083056478,0.212624585,0.03986711,0,0.019933555
