stimmbezirk,eligible_voters,valid_votes,spd,cdu_csu,gruene,fdp,linke_pds,ad_demokraten,afd,other
90708,647,298,0.295302013,0.285234899,0.11409396,0.140939597,0.043624161,0.013422819,0.063758389,0.043624161
90709,716,310,0.306451613,0.293548387,0.05483871,0.158064516,0.087096774,0,0.041935484,0.058064516
90801,1414,797,0.336260979,0.283563363,0.047678795,0.116687578,0.056461731,0.006273526,0.106649937,0.04642409
90802,1578,843,0.31316726,0.322657177,0.046263345,0.099644128,0.0628707,0.005931198,0.099644128,0.049822064
90803,601,269,0.353159851,0.278810409,0.074349442,0.104089219,0.044609665,0,0.100371747,0.044609665
90804,703,249,0.393574297,0.208835341,0.048192771,0.068273092,0.092369478,0,0.112449799,0.076305221
90805,1112,401,0.279301746,0.284289277,0.094763092,0.144638404,0.047381546,0,0.10723192,0.042394015
90806,1061,452,0.314159292,0.300884956,0.077433628,0.086283186,0.068584071,0.002212389,0.081858407,0.068584071
90901,1540,972,0.322016461,0.294238683,0.046296296,0.136831276,0.049382716,0,0.08436214,0.066872428
90902,1316,704,0.359375,0.252840909,0.080965909,0.125,0.029829545,0.001420455,0.095170455,0.055397727
90903,1029,389,0.323907455,0.285347044,0.066838046,0.115681234,0.038560411,0,0.115681234,0.053984576
90904,730,327,0.376146789,0.278287462,0.042813456,0.116207951,0.03058104,0,0.107033639,0.048929664
90905,625,204,0.382352941,0.230392157,0.053921569,0.098039216,0.044117647,0.014705882,0.161764706,0.014705882
90906,656,296,0.293918919,0.277027027,0.043918919,0.135135135,0.054054054,0,0.135135135,0.060810811
90907,709,328,0.326219512,0.320121951,0.027439024,0.12195122,0.048780488,0.006097561,0.079268293,0.070121951
